thermostat,-0.522778,166.931503
liens,-0.522778,166.931503
pun's,-0.522778,166.931503
gliding,-29.453953,153.19885
Begin's,-33.88752,151.198023
marquise,-0.522778,166.931503
Popsicles,-30.288891,153.129526
doggedness's,-34.429761,150.888747
Shari,-34.395456,150.888819
earthlings,-33.993904,151.135951
blandishments,-33.811544,151.029364
chickadee's,-30.522962,151.639869
ululated,-31.431574,152.907392
Goren's,-28.637339,153.583911
Rockne's,-0.522778,166.931503
twinkling,-33.650946,151.104024
pivots,-32.918525,151.74332
Luciano,-32.716049,151.510997
testosterone's,-0.522778,166.931503
planter,-33.470953,151.35786
Ghanaian's,-0.522778,166.931503
imposition's,-30.383112,150.611057
creditor,-35.716284,150.173369
furor,-30.310036,153.10073
forecasting,-34.700783,135.848025
unmerciful,-31.956645,141.445208
slack,-29.688546,152.936611
scab's,-30.974744,150.249533
detritus's,-32.915982,151.721011
duchy's,-0.522778,166.931503
hat's,-31.086769,150.913583
playgoers,-0.522778,166.931503
shyness's,-33.825791,151.182281
Jewishness's,-0.522778,166.931503
fearlessly,-0.522778,166.931503
reset,-32.710449,151.568225
blinding,-33.931224,151.036549
ashtrays,-0.522778,166.931503
Ginger,-30.314063,149.779282
Longfellow,-32.747321,152.163107
urology,-28.850192,153.555645
Cherry,-31.088203,150.917704
halves's,-0.522778,166.931503
ethnology's,-31.447366,152.89223
dealership,-34.31953,148.296296
Penderecki's,-0.522778,166.931503
Alcyone's,-32.921837,151.757096
hone's,-33.282684,151.396654
distasteful,-33.920486,150.999256
chicanery's,-33.42964,147.826776
tattooist's,-30.318586,149.780269
unmasking,-33.845693,150.914854
pours,-0.522778,166.931503
milquetoast,-0.522778,166.931503
Di,-31.447366,152.89223
Ceausescu,-0.522778,166.931503
compendiums,-34.427753,150.893084
binds,-31.453872,152.882937
laxest,-30.289913,149.728427
armaturing,-12.432181,130.84331
internationalizing,-23.698599,133.870085
advisability,-27.443684,153.008224
manhandling,-24.578156,150.650451
armrest's,-27.544903,151.947477
realer,-28.032267,148.589615
dowagers,-0.522778,166.931503
Hindi,-0.522778,166.931503
imparts,-28.129623,153.456711
Keokuk,-0.522778,166.931503
Brubeck's,-19.267631,146.797958
expo,-27.616953,152.750984
fraternization,-27.391668,152.942543
amounts,-17.942415,146.091637
